neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
124.7228,13.5525,148.0265,4.476,124.7228,0.1131,0.9932,20.86,TLL,Lateral Tilt Left,1
150.8069,9.2495,159.6555,1.9263,150.8069,0.1252,0.9498,14.5239,TLL,Lateral Tilt Left,1
154.8157,8.7935,160.8544,1.2671,154.8157,0.1204,0.9437,13.649,TLL,Lateral Tilt Left,1
153.6211,10.7613,159.5887,1.2381,153.6211,0.1191,0.9782,14.1799,TLL,Lateral Tilt Left,1
155.6572,14.8458,151.0904,-0.8012,155.6572,0.1006,0.991,19.862,TLL,Lateral Tilt Left,1
153.0688,14.0049,152.1479,-0.1652,153.0688,0.1028,0.9904,19.0757,TLL,Lateral Tilt Left,1
151.1231,13.7416,152.7492,0.3114,151.1231,0.1098,0.9851,18.6667,TLL,Lateral Tilt Left,1
133.2132,6.8433,160.0251,5.8309,133.2132,0.1293,0.8803,14.7456,TLL,Lateral Tilt Left,1
163.5212,8.014,157.8093,-1.0367,163.5212,0.1042,0.8939,16.4588,TLL,Lateral Tilt Left,1
162.4762,10.1063,154.4289,-1.3487,162.4762,0.0963,0.9251,18.7612,TLL,Lateral Tilt Left,1
162.5621,11.3807,152.8081,-1.4504,162.5621,0.0856,0.9483,19.3901,TLL,Lateral Tilt Left,1
143.4262,12.4506,149.8742,1.0548,143.4262,0.0939,0.9646,21.5372,TLL,Lateral Tilt Left,1
140.5435,11.7406,148.5197,1.4355,140.5435,0.1034,0.9472,21.589,TLL,Lateral Tilt Left,1
136.6556,11.1493,147.8093,2.1108,136.6556,0.1091,0.9319,21.7989,TLL,Lateral Tilt Left,1
134.2123,10.853,147.3446,2.5324,134.2123,0.1115,0.9248,21.8787,TLL,Lateral Tilt Left,1
162.2747,8.756,159.746,-0.3064,162.2747,0.0694,0.9579,14.4761,TLL,Lateral Tilt Left,1
140.8492,9.3313,153.9884,1.7088,140.8492,0.0752,0.9384,18.8617,TLL,Lateral Tilt Left,1
138.9638,9.7515,152.0963,1.7648,138.9638,0.0777,0.9443,20.1236,TLL,Lateral Tilt Left,1
138.2811,10.1823,149.7465,1.4358,138.2811,0.0722,0.9521,21.9567,TLL,Lateral Tilt Left,1
144.2427,9.8843,149.1596,0.5883,144.2427,0.0686,0.9415,21.9987,TLL,Lateral Tilt Left,1
142.5312,9.66,149.4854,0.8166,142.5312,0.0674,0.9353,21.5637,TLL,Lateral Tilt Left,1
